# COMMON COMMAND SEQUENCE PATTERNS
# Format: FULL_SEQUENCE	CATEGORY	FREQUENCY

WHY IS INSTALL FILE	QUESTION	10
WHY IS INSTALL FOLDER	QUESTION	10
WHY IS REMOVE PACKAGE	QUESTION	10
WHY IS REMOVE SERVICE	QUESTION	10
WHY IS REMOVE DRIVER	QUESTION	10
WHY IS REMOVE NETWORK	QUESTION	10
WHY IS REMOVE WIFI	QUESTION	10
WHY IS REMOVE BLUETOOTH	QUESTION	10
WHY IS REMOVE PRINTER	QUESTION	10
WHY IS REMOVE USB	QUESTION	10
WHY IS REMOVE DISK	QUESTION	10
WHY IS REMOVE PARTITION	QUESTION	10
WHY IS REMOVE FILE	QUESTION	10
WHY IS REMOVE FOLDER	QUESTION	10
WHY IS UPDATE PACKAGE	QUESTION	10
WHY IS UPDATE SERVICE	QUESTION	10
WHY IS UPDATE DRIVER	QUESTION	10
WHY IS UPDATE NETWORK	QUESTION	10
WHY IS UPDATE WIFI	QUESTION	10
WHY IS UPDATE BLUETOOTH	QUESTION	10
WHY IS UPDATE PRINTER	QUESTION	10
WHY IS UPDATE USB	QUESTION	10
WHY IS UPDATE DISK	QUESTION	10
WHY IS UPDATE PARTITION	QUESTION	10
WHY IS UPDATE FILE	QUESTION	10
WHY IS UPDATE FOLDER	QUESTION	10
WHY IS CONFIGURE PACKAGE	QUESTION	10
WHY IS CONFIGURE SERVICE	QUESTION	10
WHY IS CONFIGURE DRIVER	QUESTION	10
WHY IS CONFIGURE NETWORK	QUESTION	10
WHY IS CONFIGURE WIFI	QUESTION	10
WHY IS CONFIGURE BLUETOOTH	QUESTION	10
WHY IS CONFIGURE PRINTER	QUESTION	10
WHY IS CONFIGURE USB	QUESTION	10
WHY IS CONFIGURE DISK	QUESTION	10
WHY IS CONFIGURE PARTITION	QUESTION	10
WHY IS CONFIGURE FILE	QUESTION	10
WHY IS CONFIGURE FOLDER	QUESTION	10
WHY IS FIX PACKAGE	QUESTION	10
WHY IS FIX SERVICE	QUESTION	10
WHY IS FIX DRIVER	QUESTION	10
WHY IS FIX NETWORK	QUESTION	10
WHY IS FIX WIFI	QUESTION	10
WHY IS FIX BLUETOOTH	QUESTION	10
WHY IS FIX PRINTER	QUESTION	10
WHY IS FIX USB	QUESTION	10
WHY IS FIX DISK	QUESTION	10
WHY IS FIX PARTITION	QUESTION	10
WHY IS FIX FILE	QUESTION	10
WHY IS FIX FOLDER	QUESTION	10
WHY IS CHECK PACKAGE	QUESTION	10
WHY IS CHECK SERVICE	QUESTION	10
WHY IS CHECK DRIVER	QUESTION	10
WHY IS CHECK NETWORK	QUESTION	10
WHY IS CHECK WIFI	QUESTION	10
WHY IS CHECK BLUETOOTH	QUESTION	10
WHY IS CHECK PRINTER	QUESTION	10
WHY IS CHECK USB	QUESTION	10
WHY IS CHECK DISK	QUESTION	10
WHY IS CHECK PARTITION	QUESTION	10
WHY IS CHECK FILE	QUESTION	10
WHY IS CHECK FOLDER	QUESTION	10
WHY IS FIND PACKAGE	QUESTION	10
WHY IS FIND SERVICE	QUESTION	10
WHY IS FIND DRIVER	QUESTION	10
WHY IS FIND NETWORK	QUESTION	10
WHY IS FIND WIFI	QUESTION	10
WHY IS FIND BLUETOOTH	QUESTION	10
WHY IS FIND PRINTER	QUESTION	10
WHY IS FIND USB	QUESTION	10
WHY IS FIND DISK	QUESTION	10
WHY IS FIND PARTITION	QUESTION	10
WHY IS FIND FILE	QUESTION	10
WHY IS FIND FOLDER	QUESTION	10
WHY IS SETUP PACKAGE	QUESTION	10
WHY IS SETUP SERVICE	QUESTION	10
WHY IS SETUP DRIVER	QUESTION	10
WHY IS SETUP NETWORK	QUESTION	10
WHY IS SETUP WIFI	QUESTION	10
WHY IS SETUP BLUETOOTH	QUESTION	10
WHY IS SETUP PRINTER	QUESTION	10
WHY IS SETUP USB	QUESTION	10
WHY IS SETUP DISK	QUESTION	10
WHY IS SETUP PARTITION	QUESTION	10
WHY IS SETUP FILE	QUESTION	10
WHY IS SETUP FOLDER	QUESTION	10
WHY IS ENABLE PACKAGE	QUESTION	10
WHY IS ENABLE SERVICE	QUESTION	10
WHY IS ENABLE DRIVER	QUESTION	10
WHY IS ENABLE NETWORK	QUESTION	10
WHY IS ENABLE WIFI	QUESTION	10
WHY IS ENABLE BLUETOOTH	QUESTION	10
WHY IS ENABLE PRINTER	QUESTION	10
WHY IS ENABLE USB	QUESTION	10
WHY IS ENABLE DISK	QUESTION	10
WHY IS ENABLE PARTITION	QUESTION	10
WHY IS ENABLE FILE	QUESTION	10
WHY IS ENABLE FOLDER	QUESTION	10
WHY IS DISABLE PACKAGE	QUESTION	10
WHY IS DISABLE SERVICE	QUESTION	10
WHY IS DISABLE DRIVER	QUESTION	10
WHY IS DISABLE NETWORK	QUESTION	10
WHY IS DISABLE WIFI	QUESTION	10
WHY IS DISABLE BLUETOOTH	QUESTION	10
WHY IS DISABLE PRINTER	QUESTION	10
WHY IS DISABLE USB	QUESTION	10
WHY IS DISABLE DISK	QUESTION	10
WHY IS DISABLE PARTITION	QUESTION	10
WHY IS DISABLE FILE	QUESTION	10
WHY IS DISABLE FOLDER	QUESTION	10
WHY IS START PACKAGE	QUESTION	10
WHY IS START SERVICE	QUESTION	10
WHY IS START DRIVER	QUESTION	10
WHY IS START NETWORK	QUESTION	10
WHY IS START WIFI	QUESTION	10
WHY IS START BLUETOOTH	QUESTION	10
WHY IS START PRINTER	QUESTION	10
WHY IS START USB	QUESTION	10
WHY IS START DISK	QUESTION	10
WHY IS START PARTITION	QUESTION	10
WHY IS START FILE	QUESTION	10
WHY IS START FOLDER	QUESTION	10
WHY IS STOP PACKAGE	QUESTION	10
WHY IS STOP SERVICE	QUESTION	10
WHY IS STOP DRIVER	QUESTION	10
WHY IS STOP NETWORK	QUESTION	10
WHY IS STOP WIFI	QUESTION	10
WHY IS STOP BLUETOOTH	QUESTION	10
WHY IS STOP PRINTER	QUESTION	10
WHY IS STOP USB	QUESTION	10
WHY IS STOP DISK	QUESTION	10
WHY IS STOP PARTITION	QUESTION	10
WHY IS STOP FILE	QUESTION	10
WHY IS STOP FOLDER	QUESTION	10
WHY IS RESTART PACKAGE	QUESTION	10
WHY IS RESTART SERVICE	QUESTION	10
WHY IS RESTART DRIVER	QUESTION	10
WHY IS RESTART NETWORK	QUESTION	10
WHY IS RESTART WIFI	QUESTION	10
WHY IS RESTART BLUETOOTH	QUESTION	10
WHY IS RESTART PRINTER	QUESTION	10
WHY IS RESTART USB	QUESTION	10
WHY IS RESTART DISK	QUESTION	10
WHY IS RESTART PARTITION	QUESTION	10
WHY IS RESTART FILE	QUESTION	10
WHY IS RESTART FOLDER	QUESTION	10
CAN I INSTALL PACKAGE	QUESTION	10
CAN I INSTALL SERVICE	QUESTION	10
CAN I INSTALL DRIVER	QUESTION	10
CAN I INSTALL NETWORK	QUESTION	10
CAN I INSTALL WIFI	QUESTION	10
CAN I INSTALL BLUETOOTH	QUESTION	10
CAN I INSTALL PRINTER	QUESTION	10
CAN I INSTALL USB	QUESTION	10
CAN I INSTALL DISK	QUESTION	10
CAN I INSTALL PARTITION	QUESTION	10
CAN I INSTALL FILE	QUESTION	10
CAN I INSTALL FOLDER	QUESTION	10
CAN I REMOVE PACKAGE	QUESTION	10
CAN I REMOVE SERVICE	QUESTION	10
CAN I REMOVE DRIVER	QUESTION	10
CAN I REMOVE NETWORK	QUESTION	10
CAN I REMOVE WIFI	QUESTION	10
CAN I REMOVE BLUETOOTH	QUESTION	10
CAN I REMOVE PRINTER	QUESTION	10
CAN I REMOVE USB	QUESTION	10
CAN I REMOVE DISK	QUESTION	10
CAN I REMOVE PARTITION	QUESTION	10
CAN I REMOVE FILE	QUESTION	10
CAN I REMOVE FOLDER	QUESTION	10
CAN I UPDATE PACKAGE	QUESTION	10
CAN I UPDATE SERVICE	QUESTION	10
CAN I UPDATE DRIVER	QUESTION	10
CAN I UPDATE NETWORK	QUESTION	10
CAN I UPDATE WIFI	QUESTION	10
CAN I UPDATE BLUETOOTH	QUESTION	10
CAN I UPDATE PRINTER	QUESTION	10
CAN I UPDATE USB	QUESTION	10
CAN I UPDATE DISK	QUESTION	10
CAN I UPDATE PARTITION	QUESTION	10
CAN I UPDATE FILE	QUESTION	10
CAN I UPDATE FOLDER	QUESTION	10
CAN I CONFIGURE PACKAGE	QUESTION	10
CAN I CONFIGURE SERVICE	QUESTION	10
CAN I CONFIGURE DRIVER	QUESTION	10
CAN I CONFIGURE NETWORK	QUESTION	10
CAN I CONFIGURE WIFI	QUESTION	10
CAN I CONFIGURE BLUETOOTH	QUESTION	10
CAN I CONFIGURE PRINTER	QUESTION	10
CAN I CONFIGURE USB	QUESTION	10
CAN I CONFIGURE DISK	QUESTION	10
CAN I CONFIGURE PARTITION	QUESTION	10
CAN I CONFIGURE FILE	QUESTION	10
CAN I CONFIGURE FOLDER	QUESTION	10
CAN I FIX PACKAGE	QUESTION	10
CAN I FIX SERVICE	QUESTION	10
CAN I FIX DRIVER	QUESTION	10
CAN I FIX NETWORK	QUESTION	10
CAN I FIX WIFI	QUESTION	10
CAN I FIX BLUETOOTH	QUESTION	10
CAN I FIX PRINTER	QUESTION	10
CAN I FIX USB	QUESTION	10
CAN I FIX DISK	QUESTION	10
CAN I FIX PARTITION	QUESTION	10
CAN I FIX FILE	QUESTION	10
CAN I FIX FOLDER	QUESTION	10
CAN I CHECK PACKAGE	QUESTION	10
CAN I CHECK SERVICE	QUESTION	10
CAN I CHECK DRIVER	QUESTION	10
CAN I CHECK NETWORK	QUESTION	10
CAN I CHECK WIFI	QUESTION	10
CAN I CHECK BLUETOOTH	QUESTION	10
CAN I CHECK PRINTER	QUESTION	10
CAN I CHECK USB	QUESTION	10
CAN I CHECK DISK	QUESTION	10
CAN I CHECK PARTITION	QUESTION	10
CAN I CHECK FILE	QUESTION	10
CAN I CHECK FOLDER	QUESTION	10
CAN I FIND PACKAGE	QUESTION	10
CAN I FIND SERVICE	QUESTION	10
CAN I FIND DRIVER	QUESTION	10
CAN I FIND NETWORK	QUESTION	10
CAN I FIND WIFI	QUESTION	10
CAN I FIND BLUETOOTH	QUESTION	10
CAN I FIND PRINTER	QUESTION	10
CAN I FIND USB	QUESTION	10
CAN I FIND DISK	QUESTION	10
CAN I FIND PARTITION	QUESTION	10
CAN I FIND FILE	QUESTION	10
CAN I FIND FOLDER	QUESTION	10
CAN I SETUP PACKAGE	QUESTION	10
CAN I SETUP SERVICE	QUESTION	10
CAN I SETUP DRIVER	QUESTION	10
CAN I SETUP NETWORK	QUESTION	10
CAN I SETUP WIFI	QUESTION	10
CAN I SETUP BLUETOOTH	QUESTION	10
CAN I SETUP PRINTER	QUESTION	10
CAN I SETUP USB	QUESTION	10
CAN I SETUP DISK	QUESTION	10
CAN I SETUP PARTITION	QUESTION	10
CAN I SETUP FILE	QUESTION	10
CAN I SETUP FOLDER	QUESTION	10
CAN I ENABLE PACKAGE	QUESTION	10
CAN I ENABLE SERVICE	QUESTION	10
CAN I ENABLE DRIVER	QUESTION	10
CAN I ENABLE NETWORK	QUESTION	10
CAN I ENABLE WIFI	QUESTION	10
CAN I ENABLE BLUETOOTH	QUESTION	10
CAN I ENABLE PRINTER	QUESTION	10
CAN I ENABLE USB	QUESTION	10
CAN I ENABLE DISK	QUESTION	10
CAN I ENABLE PARTITION	QUESTION	10
CAN I ENABLE FILE	QUESTION	10
CAN I ENABLE FOLDER	QUESTION	10
CAN I DISABLE PACKAGE	QUESTION	10
CAN I DISABLE SERVICE	QUESTION	10
CAN I DISABLE DRIVER	QUESTION	10
CAN I DISABLE NETWORK	QUESTION	10
CAN I DISABLE WIFI	QUESTION	10
CAN I DISABLE BLUETOOTH	QUESTION	10
CAN I DISABLE PRINTER	QUESTION	10
CAN I DISABLE USB	QUESTION	10
CAN I DISABLE DISK	QUESTION	10
CAN I DISABLE PARTITION	QUESTION	10
CAN I DISABLE FILE	QUESTION	10
CAN I DISABLE FOLDER	QUESTION	10
CAN I START PACKAGE	QUESTION	10
CAN I START SERVICE	QUESTION	10
CAN I START DRIVER	QUESTION	10
CAN I START NETWORK	QUESTION	10
CAN I START WIFI	QUESTION	10
CAN I START BLUETOOTH	QUESTION	10
CAN I START PRINTER	QUESTION	10
CAN I START USB	QUESTION	10
CAN I START DISK	QUESTION	10
CAN I START PARTITION	QUESTION	10
CAN I START FILE	QUESTION	10
CAN I START FOLDER	QUESTION	10
CAN I STOP PACKAGE	QUESTION	10
CAN I STOP SERVICE	QUESTION	10
CAN I STOP DRIVER	QUESTION	10
CAN I STOP NETWORK	QUESTION	10
CAN I STOP WIFI	QUESTION	10
CAN I STOP BLUETOOTH	QUESTION	10
CAN I STOP PRINTER	QUESTION	10
CAN I STOP USB	QUESTION	10
CAN I STOP DISK	QUESTION	10
CAN I STOP PARTITION	QUESTION	10
CAN I STOP FILE	QUESTION	10
CAN I STOP FOLDER	QUESTION	10
CAN I RESTART PACKAGE	QUESTION	10
CAN I RESTART SERVICE	QUESTION	10
CAN I RESTART DRIVER	QUESTION	10
CAN I RESTART NETWORK	QUESTION	10
CAN I RESTART WIFI	QUESTION	10
CAN I RESTART BLUETOOTH	QUESTION	10
CAN I RESTART PRINTER	QUESTION	10
CAN I RESTART USB	QUESTION	10
CAN I RESTART DISK	QUESTION	10
CAN I RESTART PARTITION	QUESTION	10
CAN I RESTART FILE	QUESTION	10
CAN I RESTART FOLDER	QUESTION	10
SHOULD I INSTALL PACKAGE	QUESTION	10
SHOULD I INSTALL SERVICE	QUESTION	10
SHOULD I INSTALL DRIVER	QUESTION	10
SHOULD I INSTALL NETWORK	QUESTION	10
SHOULD I INSTALL WIFI	QUESTION	10
SHOULD I INSTALL BLUETOOTH	QUESTION	10
SHOULD I INSTALL PRINTER	QUESTION	10
SHOULD I INSTALL USB	QUESTION	10
SHOULD I INSTALL DISK	QUESTION	10
SHOULD I INSTALL PARTITION	QUESTION	10
SHOULD I INSTALL FILE	QUESTION	10
SHOULD I INSTALL FOLDER	QUESTION	10
SHOULD I REMOVE PACKAGE	QUESTION	10
SHOULD I REMOVE SERVICE	QUESTION	10
SHOULD I REMOVE DRIVER	QUESTION	10
SHOULD I REMOVE NETWORK	QUESTION	10
SHOULD I REMOVE WIFI	QUESTION	10
SHOULD I REMOVE BLUETOOTH	QUESTION	10
SHOULD I REMOVE PRINTER	QUESTION	10
SHOULD I REMOVE USB	QUESTION	10
SHOULD I REMOVE DISK	QUESTION	10
SHOULD I REMOVE PARTITION	QUESTION	10
SHOULD I REMOVE FILE	QUESTION	10
SHOULD I REMOVE FOLDER	QUESTION	10
SHOULD I UPDATE PACKAGE	QUESTION	10
SHOULD I UPDATE SERVICE	QUESTION	10
SHOULD I UPDATE DRIVER	QUESTION	10
SHOULD I UPDATE NETWORK	QUESTION	10
SHOULD I UPDATE WIFI	QUESTION	10
SHOULD I UPDATE BLUETOOTH	QUESTION	10
SHOULD I UPDATE PRINTER	QUESTION	10
SHOULD I UPDATE USB	QUESTION	10
SHOULD I UPDATE DISK	QUESTION	10
SHOULD I UPDATE PARTITION	QUESTION	10
SHOULD I UPDATE FILE	QUESTION	10
SHOULD I UPDATE FOLDER	QUESTION	10
SHOULD I CONFIGURE PACKAGE	QUESTION	10
SHOULD I CONFIGURE SERVICE	QUESTION	10
SHOULD I CONFIGURE DRIVER	QUESTION	10
SHOULD I CONFIGURE NETWORK	QUESTION	10
SHOULD I CONFIGURE WIFI	QUESTION	10
SHOULD I CONFIGURE BLUETOOTH	QUESTION	10
SHOULD I CONFIGURE PRINTER	QUESTION	10
SHOULD I CONFIGURE USB	QUESTION	10
SHOULD I CONFIGURE DISK	QUESTION	10
SHOULD I CONFIGURE PARTITION	QUESTION	10
SHOULD I CONFIGURE FILE	QUESTION	10
SHOULD I CONFIGURE FOLDER	QUESTION	10
SHOULD I FIX PACKAGE	QUESTION	10
SHOULD I FIX SERVICE	QUESTION	10
SHOULD I FIX DRIVER	QUESTION	10
SHOULD I FIX NETWORK	QUESTION	10
SHOULD I FIX WIFI	QUESTION	10
SHOULD I FIX BLUETOOTH	QUESTION	10
SHOULD I FIX PRINTER	QUESTION	10
SHOULD I FIX USB	QUESTION	10
SHOULD I FIX DISK	QUESTION	10
SHOULD I FIX PARTITION	QUESTION	10
SHOULD I FIX FILE	QUESTION	10
SHOULD I FIX FOLDER	QUESTION	10
SHOULD I CHECK PACKAGE	QUESTION	10
SHOULD I CHECK SERVICE	QUESTION	10
SHOULD I CHECK DRIVER	QUESTION	10
SHOULD I CHECK NETWORK	QUESTION	10
SHOULD I CHECK WIFI	QUESTION	10
SHOULD I CHECK BLUETOOTH	QUESTION	10
SHOULD I CHECK PRINTER	QUESTION	10
SHOULD I CHECK USB	QUESTION	10
SHOULD I CHECK DISK	QUESTION	10
SHOULD I CHECK PARTITION	QUESTION	10
SHOULD I CHECK FILE	QUESTION	10
SHOULD I CHECK FOLDER	QUESTION	10
SHOULD I FIND PACKAGE	QUESTION	10
SHOULD I FIND SERVICE	QUESTION	10
SHOULD I FIND DRIVER	QUESTION	10
SHOULD I FIND NETWORK	QUESTION	10
SHOULD I FIND WIFI	QUESTION	10
SHOULD I FIND BLUETOOTH	QUESTION	10
SHOULD I FIND PRINTER	QUESTION	10
SHOULD I FIND USB	QUESTION	10
SHOULD I FIND DISK	QUESTION	10
SHOULD I FIND PARTITION	QUESTION	10
SHOULD I FIND FILE	QUESTION	10
SHOULD I FIND FOLDER	QUESTION	10
SHOULD I SETUP PACKAGE	QUESTION	10
SHOULD I SETUP SERVICE	QUESTION	10
SHOULD I SETUP DRIVER	QUESTION	10
SHOULD I SETUP NETWORK	QUESTION	10
SHOULD I SETUP WIFI	QUESTION	10
SHOULD I SETUP BLUETOOTH	QUESTION	10
SHOULD I SETUP PRINTER	QUESTION	10
SHOULD I SETUP USB	QUESTION	10
SHOULD I SETUP DISK	QUESTION	10
SHOULD I SETUP PARTITION	QUESTION	10
SHOULD I SETUP FILE	QUESTION	10
SHOULD I SETUP FOLDER	QUESTION	10
SHOULD I ENABLE PACKAGE	QUESTION	10
SHOULD I ENABLE SERVICE	QUESTION	10
SHOULD I ENABLE DRIVER	QUESTION	10
SHOULD I ENABLE NETWORK	QUESTION	10
SHOULD I ENABLE WIFI	QUESTION	10
SHOULD I ENABLE BLUETOOTH	QUESTION	10
SHOULD I ENABLE PRINTER	QUESTION	10
SHOULD I ENABLE USB	QUESTION	10
SHOULD I ENABLE DISK	QUESTION	10
SHOULD I ENABLE PARTITION	QUESTION	10
SHOULD I ENABLE FILE	QUESTION	10
SHOULD I ENABLE FOLDER	QUESTION	10
SHOULD I DISABLE PACKAGE	QUESTION	10
SHOULD I DISABLE SERVICE	QUESTION	10
SHOULD I DISABLE DRIVER	QUESTION	10
SHOULD I DISABLE NETWORK	QUESTION	10
SHOULD I DISABLE WIFI	QUESTION	10
SHOULD I DISABLE BLUETOOTH	QUESTION	10
SHOULD I DISABLE PRINTER	QUESTION	10
SHOULD I DISABLE USB	QUESTION	10
SHOULD I DISABLE DISK	QUESTION	10
SHOULD I DISABLE PARTITION	QUESTION	10
SHOULD I DISABLE FILE	QUESTION	10
SHOULD I DISABLE FOLDER	QUESTION	10
SHOULD I START PACKAGE	QUESTION	10
SHOULD I START SERVICE	QUESTION	10
SHOULD I START DRIVER	QUESTION	10
SHOULD I START NETWORK	QUESTION	10
SHOULD I START WIFI	QUESTION	10
SHOULD I START BLUETOOTH	QUESTION	10
SHOULD I START PRINTER	QUESTION	10
SHOULD I START USB	QUESTION	10
SHOULD I START DISK	QUESTION	10
SHOULD I START PARTITION	QUESTION	10
SHOULD I START FILE	QUESTION	10
SHOULD I START FOLDER	QUESTION	10
SHOULD I STOP PACKAGE	QUESTION	10
SHOULD I STOP SERVICE	QUESTION	10
SHOULD I STOP DRIVER	QUESTION	10
SHOULD I STOP NETWORK	QUESTION	10
SHOULD I STOP WIFI	QUESTION	10
SHOULD I STOP BLUETOOTH	QUESTION	10
SHOULD I STOP PRINTER	QUESTION	10
SHOULD I STOP USB	QUESTION	10
SHOULD I STOP DISK	QUESTION	10
SHOULD I STOP PARTITION	QUESTION	10
SHOULD I STOP FILE	QUESTION	10
SHOULD I STOP FOLDER	QUESTION	10
SHOULD I RESTART PACKAGE	QUESTION	10
SHOULD I RESTART SERVICE	QUESTION	10
SHOULD I RESTART DRIVER	QUESTION	10
SHOULD I RESTART NETWORK	QUESTION	10
SHOULD I RESTART WIFI	QUESTION	10
SHOULD I RESTART BLUETOOTH	QUESTION	10
SHOULD I RESTART PRINTER	QUESTION	10
SHOULD I RESTART USB	QUESTION	10
SHOULD I RESTART DISK	QUESTION	10
SHOULD I RESTART PARTITION	QUESTION	10
SHOULD I RESTART FILE	QUESTION	10
SHOULD I RESTART FOLDER	QUESTION	10

# ERROR TROUBLESHOOTING
MY PACKAGE DOESNT WORK	TROUBLESHOOT	12
THE PACKAGE DOESNT WORK	TROUBLESHOOT	12
MY PACKAGE NOT WORKING	TROUBLESHOOT	12
THE PACKAGE NOT WORKING	TROUBLESHOOT	12
MY PACKAGE BROKEN	TROUBLESHOOT	12
THE PACKAGE BROKEN	TROUBLESHOOT	12
MY PACKAGE FAILED	TROUBLESHOOT	12
THE PACKAGE FAILED	TROUBLESHOOT	12
MY PACKAGE ERROR	TROUBLESHOOT	12
THE PACKAGE ERROR	TROUBLESHOOT	12
MY PACKAGE CRASH	TROUBLESHOOT	12
THE PACKAGE CRASH	TROUBLESHOOT	12
MY PACKAGE FREEZE	TROUBLESHOOT	12
THE PACKAGE FREEZE	TROUBLESHOOT	12
MY PACKAGE SLOW	TROUBLESHOOT	12
THE PACKAGE SLOW	TROUBLESHOOT	12
MY PACKAGE UNRESPONSIVE	TROUBLESHOOT	12
THE PACKAGE UNRESPONSIVE	TROUBLESHOOT	12
MY PACKAGE HANGING	TROUBLESHOOT	12
THE PACKAGE HANGING	TROUBLESHOOT	12
MY PACKAGE STUCK	TROUBLESHOOT	12
THE PACKAGE STUCK	TROUBLESHOOT	12
MY SERVICE DOESNT WORK	TROUBLESHOOT	12
THE SERVICE DOESNT WORK	TROUBLESHOOT	12
MY SERVICE NOT WORKING	TROUBLESHOOT	12
THE SERVICE NOT WORKING	TROUBLESHOOT	12
MY SERVICE BROKEN	TROUBLESHOOT	12
THE SERVICE BROKEN	TROUBLESHOOT	12
MY SERVICE FAILED	TROUBLESHOOT	12
THE SERVICE FAILED	TROUBLESHOOT	12
MY SERVICE ERROR	TROUBLESHOOT	12
THE SERVICE ERROR	TROUBLESHOOT	12
MY SERVICE CRASH	TROUBLESHOOT	12
THE SERVICE CRASH	TROUBLESHOOT	12
MY SERVICE FREEZE	TROUBLESHOOT	12
THE SERVICE FREEZE	TROUBLESHOOT	12
MY SERVICE SLOW	TROUBLESHOOT	12
THE SERVICE SLOW	TROUBLESHOOT	12
MY SERVICE UNRESPONSIVE	TROUBLESHOOT	12
THE SERVICE UNRESPONSIVE	TROUBLESHOOT	12
MY SERVICE HANGING	TROUBLESHOOT	12
THE SERVICE HANGING	TROUBLESHOOT	12
MY SERVICE STUCK	TROUBLESHOOT	12
THE SERVICE STUCK	TROUBLESHOOT	12
MY DRIVER DOESNT WORK	TROUBLESHOOT	12
THE DRIVER DOESNT WORK	TROUBLESHOOT	12
MY DRIVER NOT WORKING	TROUBLESHOOT	12
THE DRIVER NOT WORKING	TROUBLESHOOT	12
MY DRIVER BROKEN	TROUBLESHOOT	12
THE DRIVER BROKEN	TROUBLESHOOT	12
MY DRIVER FAILED	TROUBLESHOOT	12
THE DRIVER FAILED	TROUBLESHOOT	12
MY DRIVER ERROR	TROUBLESHOOT	12
THE DRIVER ERROR	TROUBLESHOOT	12
MY DRIVER CRASH	TROUBLESHOOT	12
THE DRIVER CRASH	TROUBLESHOOT	12
MY DRIVER FREEZE	TROUBLESHOOT	12
THE DRIVER FREEZE	TROUBLESHOOT	12
MY DRIVER SLOW	TROUBLESHOOT	12
THE DRIVER SLOW	TROUBLESHOOT	12
MY DRIVER UNRESPONSIVE	TROUBLESHOOT	12
THE DRIVER UNRESPONSIVE	TROUBLESHOOT	12
MY DRIVER HANGING	TROUBLESHOOT	12
THE DRIVER HANGING	TROUBLESHOOT	12
MY DRIVER STUCK	TROUBLESHOOT	12
THE DRIVER STUCK	TROUBLESHOOT	12
MY NETWORK DOESNT WORK	TROUBLESHOOT	12
THE NETWORK DOESNT WORK	TROUBLESHOOT	12
MY NETWORK NOT WORKING	TROUBLESHOOT	12
THE NETWORK NOT WORKING	TROUBLESHOOT	12
MY NETWORK BROKEN	TROUBLESHOOT	12
THE NETWORK BROKEN	TROUBLESHOOT	12
MY NETWORK FAILED	TROUBLESHOOT	12
THE NETWORK FAILED	TROUBLESHOOT	12
MY NETWORK ERROR	TROUBLESHOOT	12
THE NETWORK ERROR	TROUBLESHOOT	12
MY NETWORK CRASH	TROUBLESHOOT	12
THE NETWORK CRASH	TROUBLESHOOT	12
MY NETWORK FREEZE	TROUBLESHOOT	12
THE NETWORK FREEZE	TROUBLESHOOT	12
MY NETWORK SLOW	TROUBLESHOOT	12
THE NETWORK SLOW	TROUBLESHOOT	12
MY NETWORK UNRESPONSIVE	TROUBLESHOOT	12
THE NETWORK UNRESPONSIVE	TROUBLESHOOT	12
MY NETWORK HANGING	TROUBLESHOOT	12
THE NETWORK HANGING	TROUBLESHOOT	12
MY NETWORK STUCK	TROUBLESHOOT	12
THE NETWORK STUCK	TROUBLESHOOT	12
MY WIFI DOESNT WORK	TROUBLESHOOT	12
THE WIFI DOESNT WORK	TROUBLESHOOT	12
MY WIFI NOT WORKING	TROUBLESHOOT	12
THE WIFI NOT WORKING	TROUBLESHOOT	12
MY WIFI BROKEN	TROUBLESHOOT	12
THE WIFI BROKEN	TROUBLESHOOT	12
MY WIFI FAILED	TROUBLESHOOT	12
THE WIFI FAILED	TROUBLESHOOT	12
MY WIFI ERROR	TROUBLESHOOT	12
THE WIFI ERROR	TROUBLESHOOT	12
MY WIFI CRASH	TROUBLESHOOT	12
THE WIFI CRASH	TROUBLESHOOT	12
MY WIFI FREEZE	TROUBLESHOOT	12
THE WIFI FREEZE	TROUBLESHOOT	12
MY WIFI SLOW	TROUBLESHOOT	12
THE WIFI SLOW	TROUBLESHOOT	12
MY WIFI UNRESPONSIVE	TROUBLESHOOT	12
THE WIFI UNRESPONSIVE	TROUBLESHOOT	12
MY WIFI HANGING	TROUBLESHOOT	12
THE WIFI HANGING	TROUBLESHOOT	12
MY WIFI STUCK	TROUBLESHOOT	12
THE WIFI STUCK	TROUBLESHOOT	12
MY BLUETOOTH DOESNT WORK	TROUBLESHOOT	12
THE BLUETOOTH DOESNT WORK	TROUBLESHOOT	12
MY BLUETOOTH NOT WORKING	TROUBLESHOOT	12
THE BLUETOOTH NOT WORKING	TROUBLESHOOT	12
MY BLUETOOTH BROKEN	TROUBLESHOOT	12
THE BLUETOOTH BROKEN	TROUBLESHOOT	12
MY BLUETOOTH FAILED	TROUBLESHOOT	12
THE BLUETOOTH FAILED	TROUBLESHOOT	12
MY BLUETOOTH ERROR	TROUBLESHOOT	12
THE BLUETOOTH ERROR	TROUBLESHOOT	12
MY BLUETOOTH CRASH	TROUBLESHOOT	12
THE BLUETOOTH CRASH	TROUBLESHOOT	12
MY BLUETOOTH FREEZE	TROUBLESHOOT	12
THE BLUETOOTH FREEZE	TROUBLESHOOT	12
MY BLUETOOTH SLOW	TROUBLESHOOT	12
THE BLUETOOTH SLOW	TROUBLESHOOT	12
MY BLUETOOTH UNRESPONSIVE	TROUBLESHOOT	12
THE BLUETOOTH UNRESPONSIVE	TROUBLESHOOT	12
MY BLUETOOTH HANGING	TROUBLESHOOT	12
